ID #,Category,Type,Gender,Location (Gym/Home/Hybrid),Equipment,Movement,Description,Video Name,
1,Bodyweight,Plyometrics ,Male,Hybrid,Bench/box,Jumps,Jump with two feet onto box 2 times. then put yourself in a pushup position and bring your knee to your chest while the other leg stabilizes,2 box jumps plus 10 box mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=2+box+jumps+plus+10+box+mountain+climbers+.mp4
2,Combination,Aerobic,Male,Hybrid,Stationary bike,Warmups & Mobility Fillers,Pedal at a comfortable medium speed ,assault bike normal speed,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=assault+bike+normal+speed+.mp4
3,Combination,Anaerobic,Male,Hybrid,Stationary bike,Corrective Work,Pedal as hard as you can for 30-40 seconds,assault bike sprint,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=assault+bike+sprint+.mp4
4,Bodyweight,Plyometrics,Female,Hybrid,Bench,Jumps,"With both hands on bench stabilizing yourself, jump with two feet over the bench back and forth 2 times. Then move to side of bench and bring one foot up to chest while other foot is stabilizing your body",bench hop x2 plus mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bench+hop+x2+plus+mountain+climbers+x10+.mp4
5,Static,Plyometrics,Male,Hybrid,None,Single-Leg,"Step back with one foot, drop to a lunge position no further than 90 degrees, and raise up almost to fully extended and drop back down in a pulsing motion",static lunge pulse,https://www.dropbox.com/preview/BP8%20finished%203rd%20shoot/Cardio/static%20lunge%20pulse%20.mp4?context=content_suggestions&role=personal
6,Bodyweight,Plyometrics,Female,Hybrid,Bench,Jumps,"With both hands on bench stabilizing yourself, jump with two feet over the bench back and forth 4 times. Then safely drop to the floor on your stomach and push yourself back onto your feet",bench hop x4 plus burpee,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bench+hop+x4+plus+burpee.mp4
7,Combination,Plyometrics,Male,Hybrid,Bosu Ball,Vertical Pressing ,"Start with bosu ball over head, bring down to floor and alternate legs in a running motion, then squat back up and raise the bosu ball over head, repeat.",bosu ball burpee plus 10 mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bosu+ball+burpee+plus+10+mountain+climbers+.mp4
8,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,"Stair with one foot on bench/box and step so both feet are on the box, lower yourself with the same leg that you started with, repeat with other leg, then Then place both hands on the bench/box and bring one foot up to chest while other foot is stabilizing your body",box alt step ups x2 plus box mountain climbers x10,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+alt+step+ups+x2+plus+box+mountain+climbers+x10+.mp4
9,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,Stair with one foot on bench/box and step up into a one leg jump and come back down repeat with other leg,box alt. explosive step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+alt.+explosive+step+ups+.mp4
10,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,Stair with one foot on bench/box and step up into a one leg jump and come back down repeat with same leg for all reps,box explosive step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+explosive+step+ups+.mp4
11,Bodyweight,Plyometrics,Female,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, drop back down to floor and fall to stomach on the ground and raise yourself back up to your feet, repeat.",box hop burpees,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+hop+burpees+.mp4
12,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, drop back down to floor, followed by 5 air squats, repeat",box jump plus squat x5,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+jump+plus+squat+x5+.mp4
13,Bodyweight,Plyometrics,Female,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, step back down to floor",box jumps,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+jumps+.mp4
14,Bodyweight,Plyometrics,Female,Hybrid,Bench/box,Corrective Work,Place both hands on the bench/box and bring one foot up to chest while other foot is stabilizing your body,box mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+mountain+climbers+.mp4
15,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,"Step onto bench/box with one foot and pull yourself up with knee coming to chest, step back down to the floor with same foot, and lunge back with foot that was on box stepping back, repeat with same legs.",box step up + reverse lunge,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+step+up+%2B+reverse+lunge+.mp4
16,Bodyweight,Anaerobic,Male,Hybrid,Bench/box,Single-Leg,"Step onto bench/box with one foot and pull yourself up with knee coming to chest, step back down to the floor with same foot, alternate legs and repeat",box step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+step+ups+.mp4
17,Bodyweight,Warmup,Male,Hybrid,None,Corrective Work,Kick heels up to butt,butt kicks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=butt+kicks+.mp4
18,Combination,Plyometrics/Anaerobic,Male,Gym,Cables,Jumps,"With tension on cables, pull down the cables by bending and squatting down and jump, repeat.",explosive ski erg,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=explosive+ski+erg+.mp4
19,Bodyweight,Plyometrics,Female,Hybrid,None,Jumps,"Jump from one foot to the other back and forth like a skating motion,",ice skaters,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=ice+skaters+.mp4
20,Bodyweight,Plyometrics,Female,Hybrid,None,Jumps,"Squat as low as possible and jump as high as possible, repeat",jump squats,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=jump+squats+.mp4
21,Bodyweight,Warmup,Male,Hybrid,None,Jumps,With slight bend in your knees jump side to side,lateral hops,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=laterall+hops+.mp4
22,Combination,Aerobic/Anaerobic,Female,Gym,Rowing Machine,Horizontal Pulling,"Start with bent kness pushing back while pulling on cable, repeat",rower,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=rower+.mp4
23,Combination,Aerobic/Anaerobic,Female,Gym,Stationary bike,Warmup,Pedal,seated stationary bike,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=seated+stationary+bike+.mp4
24,Band,Warmup,Male,Hybrid,Band,Jump,Slight jump as you flutter kick your legs in the air,short band foot shuffle,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=short+band+foot+shuffle+.mp4
25,Band,Warmup,Female,Hybrid,Band,Jump,"Slight jump, bring your arms over your head from the side while kicking legs out to side",short band jumping jacks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=short+band+jumping+jacks+.mp4
26,Combination,Anaerobic,Female,Gym,Cables,Squat,"Pull on cable that has tension while bending down into a squat and rise back up to starting position, repeat",ski erg,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=ski+erg+.mp4
27,Combination,Anaerobic,Male,Gym,Sled,Horizontal Pulling,Walk backwards while pulling a sled,sled pull,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=sled+pull.mp4
28,Combination,Aerobic/Anaerobic,Male,Gym,Sled,Horizontal Pushing,Walk forwards pushing a sled,sled push,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=sled+push+.mp4
29,Combination,Aerobic/Anaerobic,Female,Gym,Stationary bike,Warmup,Cycle while standing,standing stationary bike,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=standing+stationary+bike+.mp4
30,Barbell,Resistance,Both,Hybrid,Barbell,Arms,"Curl barbell starting with straight arms, lower weight back down half way and curl back up, return to starting position and repeat",barbell 1.5 bicep curl,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbel+1.5+bicep+curl+.mp4&subfolder_nav_tracking=1
31,Barbell,Resistance,Male,Hybrid,Barbell,Vertical Pulling,"Bend knees slightly, bend at waist, pull weight up from ground to stomach, lower halfway down and bring back up, lower back down to starting position and repeat",barbell 1.5 row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+1.5+row+.mp4
32,Barbell,Resistance,Both,Hybrid,Barbell,Vertical Pulling,"Hold weight at waist height, with slight bend in your knees bend at the waste keeping your back flat, pull yourself up to starting position, repeat.",Barbell Beginners Romanian Deadlift,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbell+RDL+.mp4&subfolder_nav_tracking=1
33,Barbell,Resistance,Both,Hybrid,Barbell,Arms,"Curl weight up to chest and slowly lower the weight back to starting position very slowly for 3-4 seconds, repeat",barbell eccentric bicep curl,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbel+eccentric+bicep+curl+.mp4&subfolder_nav_tracking=1
34,Barbell,Resistance,Male,Hybrid,Barbell,Hip-Hinge,"With weight on shoulders push hips backwards and bend at the waist lowering the weight and rise back up, repeat",barbell good mornings,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+good+mornings+.mp4
35,Barbell,Resistance,Male,Hybrid,Barbell,Vertical Pulling,"start with barbell at waste held with arms shoulder width apart and pull weight up to chin, keeping your back straight, lower back to starting position and repeat",barbell high pull,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+high+pull+.mp4
36,Barbell,Resistance,Both,Hybrid,Barbell,Vertical Pulling,"start with barbell at waste held with arms shoulder width apart and bend at waist pushing your hips backwards, keeping your back straight, pause at bottom and rise back to starting position and repeat",barbell pause romanian deadlift,
37,Barbell,Resistance,Female,Hybrid,Barbell,Vertical Pulling,"Bend at waist, pushing hips backwards, start with arms extend and pull barbell to stomach, pause for 3 seconds and return to starting position, repeat",barbell pause row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+pause+row+.mp4
38,Barbell,Resistance,Male,Hybrid,Barbell,Squats,"Holding barbell with hands hip distance apart, squat down until barbell is to ankles, squat back up and pull weight to chin, lower back starting position, repeat",barbell power high pull,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+power+high+pull+.mp4
39,Barbell,Resistance,Male,Hybrid,Barbell,Vertical Pushing,"With barbell held at shoulder height, slightly bend your knees to create some upward motion and push weight above head until arms are fully extended, return to starting position and repeat",barbell push press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+push+press+.mp4
40,Barbell,Resistance,Both,Hybrid,Barbell,Vertical pulling,"Hold weight at waist height, with slight bend in your knees bend at the waste keeping your back flat, pull barbell to your stomach staying in the bottom position, lower weight back down and pull yourself up to starting position, repeat.",barbell romanian deadlift + row,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbel+rdl+%2B+row+.mp4&subfolder_nav_tracking=1
41,Barbell,Resistance,Both,Hybrid,Barbell,Vertical pulling,"Bend at waist, pushing hips backwards, start with arms extend and pull barbell to stomach, and return to starting position, repeat",barbell row,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbel+row+.mp4&subfolder_nav_tracking=1
42,Barbell,Resistance,Both,Hybrid,Barbell,Vertical Pulling,"Hold weight at waist height, with slight bend in your knees and with one foot positioned a foot lengths behind other, bend at the waste keeping your back flat, pull yourself up to starting position, repeat.",barbell staggered stance romanian deadlift,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbel+staggered++stance+rdl+.mp4&subfolder_nav_tracking
43,Barbell,Resistance,Both,Hybrid,Barbell,Horizontal Pulling,"Bend at waist, pushing hips backwards, start with arms extend and hands facing outwards, and pull barbell to stomach, and return to starting position, repeat",barbell underhand grip row,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=barbel+under+hand+grip+row+.mp4&subfolder_nav_tracking=1
44,Barbell,Resistance,Both,Hybrid,Barbell,Horizontal Pulling,"start with barbell at waste held with arms shoulder width apart and bend at waist pushing your hips backwards, keeping your back straight and rise back to starting position and repeat",barbell Romanian Deadlift,https://www.dropbox.com/scl/fo/lfw67r1b6r05ymg86hiwh/h/Upper%20body?dl=0&preview=Barbel+BRDL+.mp4&subfolder_nav_tracking=1
45,Barbell,Resistance,Male,Hybrid,Barbell,Vertical Pushing,"Stand with a slight bend in your knees, start with barbell at top of chest, push straight up until arms are fully extended and return to starting position, repeat",barbell shoulder press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbell+shoulder+press.mp4
46,Pushup,Resistance,Both,Hybrid,Bench/box,Horizontal Pushing,"With feet on floor lower yourself to bench/box holding yourself up with your hands shoulder width apart and push up until arms are fully extend and return to starting position, repeat",bench push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bench+push+ups+.mp4
47,Combination,Resistance,Both,Hybrid,Bench/box,Corrective Work,"With feet on bench/box lower your upper body to floor with hands shoulder width apart and arms fully extended, take one hand off the ground and tap opposite shoulder and return hand to starting position, alternate hands and repeat",bench shoulder taps,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bench+shoulder+taps+.mp4
48,Pushup,Resistance,Both,Hybrid,Bench/box,Horizontal Pushing,"Sitting on a bench/box place your hands at your sides, move hips forward and extend legs straight, lower hips down until arms are at 90 degrees and push up until arms are fully extended",bench tricep dips,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bench+tricep+dips+.mp4
49,Pushup,Resistance,Both,Hybrid,Bosu Ball,Horizontal Pushing,"With flat surface of bosu ball on floor place both hands on middle of ball, lower chest to ball and push back up to arms are fully extended, repeat",bosu ball push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=bosu+ball+push+ups+.mp4
50,Pushup,Resistance,Both,Hybrid,Bench/box,Horizontal Pushing,"Place both hands on edge of bench/box with hands shoulder width apart and push as hard as possible so hands come off of bench/box, catching yourself on edge of bench/box and lower yourself back to starting position, repeat without a pause",box explosive push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=box+explosive+push+ups+.mp4
51,Pushup,Resistance,Both,Hybrid,Bench/box,Horizontal Pushing,"Place both hands on edge of bench/box with hands shoulder width apart and push up and lower yourself back to starting, repeat",box push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=box+push+ups+.mp4
52,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Start with dumbells at chest shoulder width apart, fully extend arms, lower weight half way, extend arms fully again and lower weight back to chest, repeat",dumbbell 1.5 chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+1.5+chest+press.mp4
53,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Start with dumbells in extended arm position shoulder width apart, fully lower one arm at a time down to chest and raise weight back to extended position, repeat with opposite arm",dumbbell alt chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+alt+chest+press.mp4
54,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbbell starts with arm extended, raise up to your side and lower back down, repeat",dumbbell bench row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+row+.mp4
55,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbbell starts with arm extended, raise up to your side, pause for 3 seconds and lower back down, repeat",dumbbell bench pause row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+pause+row.mp4
56,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbbell starts with arm extended, raise dumbbell controlled with a straight arm past hip and lower back down, repeat",dumbbell bench swing back,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+swing+back+.mp4
57,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"With one knee and one hand on the bench and opposite leg extended out for balance and your back flat. Dumbbell starts with arm against side, raise dumbbell controlled from a bent arm position to a straight arm past hip and lower back down, repeat",dumbbell bench tricep kick back,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+bench+tricep+kick+back+.mp4
58,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"Lying on back on the bench , extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight to the side until level with chest and raise back to starting position, repeat",dumbbell chest fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+chest+fly+.mp4
59,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Lying on back on the bench , extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest and raise back to starting position, repeat",dumbbell chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+chest+press+.mp4
60,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Lying on back on the bench with bench raise to an inclined position, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest and raise back to starting position, repeat",dumbbell incline bench press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+bench+press.mp4
61,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"Lying on back on the bench with bench in inclined position, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight to the side until level with chest and raise back to starting position, repeat",dumbbell incline chest fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+chest+fly+.mp4
62,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Vertical Pulling,"Lying on chest on the bench with bench in inclined position, extend arms with dumbbells to full arm extension towards floor, with a slight bend in arms raise weight  up towards ceiling and lower back to starting position, repeat",dumbbell incline front raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+front+raise+.mp4
63,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Lying on back on the bench with bench raise to an inclined position, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest, pause 3 seconds and raise back to starting position, repeat",dumbbell incline pause chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+pause+chest+press+.mp4
64,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Vertical Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Dumbbell starts with arm extended, raise up to your side, pause for 3 seconds and lower back down, repeat",dumbbell incline pause row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+pause+row+.mp4
65,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Dumbbell starts with arm extended, raise up with straight arms to the side and lower back down to starting position, repeat",dumbbell incline reverse fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+reverse+fly+.mp4
66,Dumbell,Resistance,Male,Hybrid,Bench/dumbbells,Horizontal Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Dumbbell starts with arm extended, raise up to your side and lower back down, repeat",dumbbell incline row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+row+.mp4
67,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Sitting on bench with back on the bench with bench in inclined position, bend arms so dumbbells are at side of head, extend arms without moving shoulder position, return back to starting position, repeat",dumbbell incline skull crushers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+incline+skull+crushers.mp4
68,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Horizontal Pushing,"Lying on back on the bench with bench raise to a flat position, extend arms with dumbbells to full arm extension, with a slight bend in arms lower weight down to sides until level with chest, pause 3 seconds and raise back to starting position, repeat",DumbBell pause chest press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=DB+pause+chest+press+.mp4
69,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Vertical Pushing,"Sitting on bench, start with dumbbells at shoulder, push straight up until arms are fully extended and lower the weight slowly, return to starting position, repeat",dumbbell seated eccentric shoulder press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+seated+eccentric+shoulder+press.mp4
70,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Vertical Pushing,"Sitting on bench, start with dumbbells at your side, raise weight from side up until arms are at shoulder height and return to starting position, repeat",dumbbell seated shoulder fly,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+seated+shoulder+fly+.mp4
71,Dumbell,Resistance,Both,Hybrid,Bench/dumbbells,Vertical Pushing,"Sitting on bench, start with dumbbells at shoulder, push straight up until arms are fully extended and lower weight, return to starting position, repeat",dumbbell seated shoulder press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+seated+shoulder+press+.mp4
72,Dumbell,Resistance,Both,Hybrid,Bench/Dumbells,Horizontal Pushing,"Sitting on bench with back on the bench with bench in a flat position, bend arms so dumbbells are at side of head, extend arms without moving shoulder position, return back to starting position, repeat",dumbbell skull crushers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=db+skull+crushers+.mp4
73,Combination,Resistance,Both,Hybrid,Bench/weights,Vertical Pulling,"Sitting on bench in reverse position. with seat raised in an incline position. Weighted plate starts with arm extended, raise up with straight in front of you making an I position, lower back down to starting position, then raise next rep like a Y shape movement, lower back to starting position, raise third rep in a T position and return to starting position, repeat",plate incline lyt,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=plate+incline+lyt+.mp4
74,Combination,Resistance,Both,Hybrid,Bench/weights,Vertical Pushing,"Sitting on bench in a reverse position on the bench with bench in inclined position, bend arms so weights are at shoulders, extend arms without moving shoulder position in an incline position until arms are fully extended, return back to starting position, repeat",plate incline superman press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=plate+incline+superman+press.mp4
75,Band,Resistance,Female,Hybrid,Dumbbells/band,Vertical Pushing,"Standing with band around wrist, start with dumbbells at side waist height. Extend arms out to the sides to add tension to band, raise dumbbells to head height, never release the tension on the bands, return to starting position, repeat",short band Dumbbell front raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=short+band+DB+front+raise+.mp4
76,Band,Resistance,Male,Hybrid,Band,Vertical Pushing,"Standing with band around wrist. Extend arms out to the sides to add tension to band, raise hands to head height, never release the tension on the bands, return to starting position, repeat",short band front raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=short+band+front+raise.mp4
77,Pushup,Resistance,Both,Hybrid,Swiss Ball,Horizontal Pushing,"Start in a push up position with feet on swiss ball. lower body down until chest is almost to ground, push up to starting position, repeat.",swiss ball push ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=swiss+ball+push+ups+.mp4
78,Bodyweight,Calisthenics,Both,Hybrid,None,Corrective Work,lying on your back extend your legs straight and kick your feet up and down,bench flutter kick,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+flutter+kick+.mp4
79,Anti-extension,Calisthenics,Both,Hybrid,None,Hip-Hinge,"Sitting on you tailbone, raise your legs and upper body up to make a V shape. Extend your arms out for balance and hold the position",bench frozen v sit,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+frozen+v+sit+.mp4
80,Anti-extension,Calisthenics,Both,Hybrid,Bench/box,Corrective Work,"Lying on your back on the floor, place your heels on the bench/box and push your hips straight up as high as you can and hold that position",bench hamstring bridge hold,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+hamstring+bridge+hold+.mp4
81,Anti-extension,Calisthenics,Both,Hybrid,None,Corrective Work,"Sitting on you tailbone, raise your legs off the ground and tuck them in to your stomach. Keeping your hands at your side for balance extend your legs out until fully extended and pull them back to the starting position, repeat.",bench knee tuck,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+knee+tuck+.mp4
82,Anti-extension,Calisthenics,Both,Hybrid,None,Core work,"Lying on your back with legs fully extended pull your feet from the ground to straight above your stomach, keeping the legs fully extended the entire time. ",bench leg raise,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Core?preview=bench+leg+raise+.mp4
